Team1,Team2,odd1,odd2,date,league
"Domingues, Joao","Michalski, Daniel",2.37,1.52,30 Sep 13:15,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
Arneodo R / Halys Q,Molchanov D / Reid M,1.89,1.81,30 Sep 13:20,"Chall. ATP Challenger Orleans, France Men Double"
Demoliner M / Matos R,Marach O / Oswald P,2.17,1.61,30 Sep 13:20,"ATP ATP Sofia, Bulgaria Men Double"
Albie A / Robbe A,Cascino E / Grey S B,2.85,1.33,30 Sep 13:30,"ITFw ITF France 19A, Women Doubles"
Calzi R / Knaff A,Johnson L / Jones B,2.85,1.33,30 Sep 14:00,"ITFm ITF France F13, Men Doubles"
Delai M / Zantedeschi A,Bassols Ribera M / Parry D,2.66,1.38,30 Sep 14:00,"ITFw ITF Portugal 16A, Women Doubles"
"Escoffier, Antoine","Kirkov, Vasil",1.20,3.76,30 Sep 14:00,"ITFm ITF Sweden F4, Men Singles"
Herbert P-h / Olivetti A,Begemann A / Zelenay I,1.30,3.22,30 Sep 14:00,"Chall. ATP Challenger Orleans, France Men Double"
"Little, Daniel","Sultanov, Khumoyun",2.30,1.50,30 Sep 14:00,"ITFm ITF Sweden F4, Men Singles"
"Pegula, Jessica","Jabeur, Ons",1.90,1.80,30 Sep 14:00,WTA Chicago 2 Singles Women
Balaji N S / Ramanathan R,Barroso Campos A / Carballes Baena R,1.45,2.57,30 Sep 14:30,"Chall. ATP Challenger Murcia, Spain Men Double"
Marcinko P / Scilipoti S,Balu S / Chilakalapudi S S,1.51,2.30,30 Sep 14:30,"ITFw ITF Tunisia 39A, Women Doubles"
"Haase, Robin","Gaston, Hugo",3.25,1.30,30 Sep 14:35,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
Erlich J / Inglot D,Jebavy R / Middelkoop M,1.69,2.05,30 Sep 14:40,"ATP ATP Sofia, Bulgaria Men Double"
Bondar A / Knoll X,Anderson R / Hesse A,1.63,2.05,30 Sep 15:00,"ITFw ITF France 19A, Women Doubles"
"Buzarnescu, Mihaela","Nguyen Tan, Lucie",1.04,7.21,30 Sep 15:00,"ITFw ITF France 19A, Women Singles"
Cerundolo J M / Tirante T A,Barrientos N / Romboli F,2.10,1.66,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Double"
