Team1,Team2,odd1,odd2,date,league
"Jung, Jason "," Kwiatkowski, Thai",2.13,1.59,"19:20 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Mmoh, Michael "," Kokkinakis, Thanasi",2.54,1.42,"20:40 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Kovacevic, Aleksandar "," Eubanks, Christopher",2.58,1.40,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Schnur, Brayden "," Kudla, Denis",2.31,1.50,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Stebe, Cedrik",Marcel ,2.31,1.50,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Torpegaard, Mikael "," Sandgren, Tennys",2.64,1.39,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Sauer, Jordan "," Daniel, Taro",9.28,1.01,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Kubler, Jason "," Watanuki, Yosuke",1.58,2.14,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Altmaier, Daniel "," Uchiyama, Yasutaka",1.34,2.84,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
"Johnson, Steve "," Karlovic, Ivo",1.38,2.67,"17:00 Oct 25, 2021",Tennis - Challenger - Las Vegas
Monroe N / Nakashima B , Olivetti A / Reid M,2.04,1.64,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
Cerretani J / Fallert F , Kolar Z / Vega Hernandez D,2.39,1.47,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
Dougaz A / Safwat M , Caruso S / Gaio F,2.79,1.35,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
Molchanov D / Nedovyesov A , Balaji N S / Sharan D,1.30,3.02,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
Ferreira Silva F / Sousa J , Cabral F / Hoyt E,1.82,1.82,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
Martineau M / Piros Z , Grenier H / Muller A,2.20,1.55,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
Doumbia S / Reboul F , Guinard M / Hoang A,1.68,1.98,"08:00 Oct 26, 2021",Tennis - Challenger - Brest Double
"Casanova, Hernan "," Thirouin, Jean",1.20,3.75,"18:35 Oct 25, 2021",Tennis - Challenger - Lima 2
"Kopriva, Vit "," Olivo, Renzo",1.73,1.91,"19:00 Oct 25, 2021",Tennis - Challenger - Lima 2
"Ficovich, Juan Pablo "," Etcheverry, Tomas Martin",3.07,1.29,"21:00 Oct 25, 2021",Tennis - Challenger - Lima 2
"Mejia, Nicolas "," Seyboth Wild, Thiago",2.55,1.41,"21:00 Oct 25, 2021",Tennis - Challenger - Lima 2
"Luz, Orlando "," Cerundolo, Juan Manuel",2.91,1.32,"15:00 Oct 25, 2021",Tennis - Challenger - Lima 2
"de Jong, Jesper "," Quiroz, Roberto",1.34,2.84,"15:00 Oct 25, 2021",Tennis - Challenger - Lima 2
"Dellien, Hugo "," Oliveira, Goncalo",1.11,5.04,"15:00 Oct 25, 2021",Tennis - Challenger - Lima 2
"Huertas Del Pino Cordova, Arklon "," Jarry, Nicolas",5.78,1.08,"15:00 Oct 25, 2021",Tennis - Challenger - Lima 2
Bueno G / Buse I , Huertas Del Pino Cordova A / Huertas Del Pino C,3.83,1.19,"15:00 Oct 26, 2021",Tennis - Challenger - Lima 2 Double
Krstin P / Kuzmanov D , Galdos S / Oliveira G,3.83,1.19,"15:00 Oct 26, 2021",Tennis - Challenger - Lima 2 Double
Barrios Vera M T / Tabilo A , Hidalgo D / Rodriguez C,1.54,2.23,"15:00 Oct 26, 2021",Tennis - Challenger - Lima 2 Double
De Jong J / Stevens B , Barrientos N / Gomez A,2.07,1.62,"15:00 Oct 26, 2021",Tennis - Challenger - Lima 2 Double
Lazarov A / Pospisil J , Kopriva V / Merino A,2.55,1.41,"15:00 Oct 26, 2021",Tennis - Challenger - Lima 2 Double
Luz O / Martinez L D , Casanova H / Collarini A,1.28,3.15,"15:00 Oct 26, 2021",Tennis - Challenger - Lima 2 Double
Roelofse R / Rungkat C , Atherton J / Ornberg A,1.02,8.24,"17:00 Oct 26, 2021",Tennis - Challenger - Las Vegas Double
Harrison C / Krueger M , Aragone J / Huey T,1.70,1.95,"17:00 Oct 26, 2021",Tennis - Challenger - Las Vegas Double
Blumberg W / Schnur M , Brodney Z / Dabic M,1.01,9.23,"17:00 Oct 26, 2021",Tennis - Challenger - Las Vegas Double
