Team1,Team2,odd1,odd2,league,date
18:30,"Popovic, Ivana","Kozyreva, Maria",1.60,2.14,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
18:30,"Hart, Jada Myii","Lahey, Ashley",3.21,1.28,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
20:00,"Chang, Hanna","Bjorklund, Mirjam",1.96,1.72,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Tue 28.09
20:00,Chirico Louisa,"Udvardy, Panna",2.17,1.58,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Tue 28.09
20:00,"Jakupovic, Dalila","DI Lorenzo, Francesca",1.73,1.94,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Tue 28.09
21:30,"Sebov, Katherine","Arconada, Usue Maitane",3.41,1.25,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Tue 28.09
17:00,"Zacarias, Marcela","Volynets, Katie",2.57,1.42,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Wed 29.09
17:00,"Exposito Diaz-Delgad, Paola","Day, Kayla",6.00,1.05,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Wed 29.09
17:00,"Vickery, Sachia","Wang, Xin YU",2.72,1.38,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Wed 29.09
17:00,"Liang, EN Shuo","LU, Jia-Jing",1.28,3.20,"Tennis - ITF Women, Berkeley, Ca, Singles W-Itf-USA-18A ",Wed 29.09
14:00,"Avdeeva, J / Malygina, E","Seguel, D / Toth, A K",2.84,1.35,"Tennis - ITF Women, Budapest, Doubles W-Itf-Hun-01A ",Tue 28.09
08:00,"Easwaramurthi, Ashmitha","Natsvlishvili, Nino",6.32,1.07,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
08:00,"Pinto, Giorgia","Calinescu, Cosima Trinity",1.12,5.00,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
08:00,"Capurro Taborda, Martina","Tran, Lian",1.20,3.85,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
08:00,"Tran, Demi","Gagoshidze, Tamari",1.25,3.41,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
08:00,"Iordache, Alexandra","Branstine, Carson",5.00,1.12,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
08:00,"Ceschi, Gloria","Gimbrere, Jasmijn",2.35,1.50,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
08:00,"Kovapitukted, Punnin","Zucchini, Arianna",1.38,2.72,"Tennis - ITF Women, Cairo, Singles W-Itf-Egy-25A ",Wed 29.09
21:30,"Koldobski, K / Younes K","Barrera, Aguirre I / Fehr, N",1.83,1.83,"Tennis - ITF Women, Cancun, Doubles W-Itf-Mex-02A ",Tue 28.09
21:30,"Morales, M / Weedon K-A","Collens, B / Peng, S",1.07,6.32,"Tennis - ITF Women, Cancun, Doubles W-Itf-Mex-02A ",Tue 28.09
